Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086	130	-13	13	4086
131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101	131	-15	15	4101
132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120	132	-118	19	4120
133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135	133	-15	15	4135
134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152	134	-17	17	4152
135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183	135	-229	31	4183
136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198	136	-15	15	4198
137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217	137	-19	19	4217
138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236	138	-19	19	4236
139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249	139	-13	13	4249
140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262	140	-13	13	4262
141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283	141	-21	21	4283
142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296	142	-13	13	4296
143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317	143	-120	21	4317
144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358	144	-239	41	4358
145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373	145	-15	15	4373
146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386	146	-13	13	4386
147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414	147	-127	28	4414
148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437	148	-23	23	4437
149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464	149	-126	27	4464
150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498	150	-232	34	4498
151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511	151	-13	13	4511
152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535	152	-123	24	4535
153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548	153	-13	13	4548
154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561	154	-13	13	4561
155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574	155	-13	13	4574
156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592	156	-18	18	4592
157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605	157	-13	13	4605
158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619	158	-14	14	4619
159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634	159	-15	15	4634
160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649	160	-15	15	4649
161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663	161	-113	14	4663
162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676	162	-13	13	4676
163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689	163	-13	13	4689
164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713	164	-123	24	4713
165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726	165	-13	13	4726
166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741	166	-15	15	4741
167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754	167	-13	13	4754
168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769	168	-15	15	4769
169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782	169	-13	13	4782
170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802	170	-20	20	4802
171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830	171	-28	28	4830
172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847	172	-17	17	4847
173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873	173	-224	26	4873
174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886	174	-13	13	4886
175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899	175	-13	13	4899
176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913	176	-14	14	4913
177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926	177	-13	13	4926
178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943	178	-17	17	4943
179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956	179	-13	13	4956
180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969	180	-13	13	4969
181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982	181	-13	13	4982
182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997	182	-114	15	4997
183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017	183	-218	20	5017
184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031	184	-14	14	5031
185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044	185	-13	13	5044
186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075	186	-229	31	5075
187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109	187	-232	34	5109
188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131	188	-121	22	5131
189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146	189	-15	15	5146
190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160	190	-14	14	5160
191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175	191	-15	15	5175
192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188	192	-13	13	5188
193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201	193	-13	13	5201
194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232	194	-229	31	5232
195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256	195	-24	24	5256
196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269	196	-13	13	5269
197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289	197	-119	20	5289
198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326	198	-235	37	5326
199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341	199	-15	15	5341
