Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174
57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194
58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217
59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241
60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264
61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313
62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330
63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348
64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365
65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382
66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404
67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423
68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441
69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460
70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490
71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512
72	-19	19	1531	72	-19	19	1531	72	-19	19	1531	72	-19	19	1531	72	-19	19	1531	72	-19	19	1531
73	-21	21	1552	73	-21	21	1552	73	-21	21	1552	73	-21	21	1552	73	-21	21	1552	73	-21	21	1552
74	-18	18	1570	74	-18	18	1570	74	-18	18	1570	74	-18	18	1570	74	-18	18	1570	74	-18	18	1570
75	-23	23	1593	75	-23	23	1593	75	-23	23	1593	75	-23	23	1593	75	-23	23	1593	75	-23	23	1593
76	-23	23	1616	76	-23	23	1616	76	-23	23	1616	76	-23	23	1616	76	-23	23	1616	76	-23	23	1616
77	-18	18	1634	77	-18	18	1634	77	-18	18	1634	77	-18	18	1634	77	-18	18	1634	77	-18	18	1634
78	-19	19	1653	78	-19	19	1653	78	-19	19	1653	78	-19	19	1653	78	-19	19	1653	78	-19	19	1653
79	-20	20	1673	79	-20	20	1673	79	-20	20	1673	79	-20	20	1673	79	-20	20	1673	79	-20	20	1673
80	-19	19	1692	80	-19	19	1692	80	-19	19	1692	80	-19	19	1692	80	-19	19	1692	80	-19	19	1692
81	-21	21	1713	81	-21	21	1713	81	-21	21	1713	81	-21	21	1713	81	-21	21	1713	81	-21	21	1713
82	-18	18	1731	82	-18	18	1731	82	-18	18	1731	82	-18	18	1731	82	-18	18	1731	82	-18	18	1731
83	-19	19	1750	83	-19	19	1750	83	-19	19	1750	83	-19	19	1750	83	-19	19	1750	83	-19	19	1750
84	-17	17	1767	84	-17	17	1767	84	-17	17	1767	84	-17	17	1767	84	-17	17	1767	84	-17	17	1767
85	-17	17	1784	85	-17	17	1784	85	-17	17	1784	85	-17	17	1784	85	-17	17	1784	85	-17	17	1784
86	-21	21	1805	86	-21	21	1805	86	-21	21	1805	86	-21	21	1805	86	-21	21	1805	86	-21	21	1805
87	-18	18	1823	87	-18	18	1823	87	-18	18	1823	87	-18	18	1823	87	-18	18	1823	87	-18	18	1823
88	-24	24	1847	88	-24	24	1847	88	-24	24	1847	88	-24	24	1847	88	-24	24	1847	88	-24	24	1847
89	-20	20	1867	89	-20	20	1867	89	-20	20	1867	89	-20	20	1867	89	-20	20	1867	89	-20	20	1867
90	-17	17	1884	90	-17	17	1884	90	-17	17	1884	90	-17	17	1884	90	-17	17	1884	90	-17	17	1884
91	-29	29	1913	91	-29	29	1913	91	-29	29	1913	91	-29	29	1913	91	-29	29	1913	91	-29	29	1913
92	-23	23	1936	92	-23	23	1936	92	-23	23	1936	92	-23	23	1936	92	-23	23	1936	92	-23	23	1936
93	-19	19	1955	93	-19	19	1955	93	-19	19	1955	93	-19	19	1955	93	-19	19	1955	93	-19	19	1955
94	-38	38	1993	94	-38	38	1993	94	-38	38	1993	94	-38	38	1993	94	-38	38	1993	94	-38	38	1993
95	-47	47	2040	95	-47	47	2040	95	-47	47	2040	95	-47	47	2040	95	-47	47	2040	95	-47	47	2040
96	-37	37	2077	96	-37	37	2077	96	-37	37	2077	96	-37	37	2077	96	-37	37	2077	96	-37	37	2077
97	-37	37	2114	97	-37	37	2114	97	-37	37	2114	97	-37	37	2114	97	-37	37	2114	97	-37	37	2114
98	-65	65	2179	98	-65	65	2179	98	-65	65	2179	98	-65	65	2179	98	-65	65	2179	98	-65	65	2179
99	-145	46	2225	99	-145	46	2225	99	-145	46	2225	99	-145	46	2225	99	-145	46	2225	99	-145	46	2225
100	-22	22	2247	100	-22	22	2247	100	-22	22	2247	100	-22	22	2247	100	-22	22	2247	100	-22	22	2247
101	-24	24	2271	101	-24	24	2271	101	-24	24	2271	101	-24	24	2271	101	-24	24	2271	101	-24	24	2271
102	-49	49	2320	102	-49	49	2320	102	-49	49	2320	102	-49	49	2320	102	-49	49	2320	102	-49	49	2320
103	-44	44	2364	103	-44	44	2364	103	-44	44	2364	103	-44	44	2364	103	-44	44	2364	103	-44	44	2364
104	-21	21	2385	104	-21	21	2385	104	-21	21	2385	104	-21	21	2385	104	-21	21	2385	104	-21	21	2385
105	-31	31	2416	105	-31	31	2416	105	-31	31	2416	105	-31	31	2416	105	-31	31	2416	105	-31	31	2416
106	-27	27	2443	106	-27	27	2443	106	-27	27	2443	106	-27	27	2443	106	-27	27	2443	106	-27	27	2443
107	-18	18	2461	107	-18	18	2461	107	-18	18	2461	107	-18	18	2461	107	-18	18	2461	107	-18	18	2461
108	-21	21	2482	108	-21	21	2482	108	-21	21	2482	108	-21	21	2482	108	-21	21	2482	108	-21	21	2482
109	-18	18	2500	109	-18	18	2500	109	-18	18	2500	109	-18	18	2500	109	-18	18	2500	109	-18	18	2500
110	-24	24	2524	110	-24	24	2524	110	-24	24	2524	110	-24	24	2524	110	-24	24	2524	110	-24	24	2524
111	-68	68	2592	111	-68	68	2592	111	-68	68	2592	111	-68	68	2592	111	-68	68	2592	111	-68	68	2592
112	-29	29	2621	112	-29	29	2621	112	-29	29	2621	112	-29	29	2621	112	-29	29	2621	112	-29	29	2621
113	-23	23	2644	113	-23	23	2644	113	-23	23	2644	113	-23	23	2644	113	-23	23	2644	113	-23	23	2644
114	-38	38	2682	114	-38	38	2682	114	-38	38	2682	114	-38	38	2682	114	-38	38	2682	114	-38	38	2682
115	-23	23	2705	115	-23	23	2705	115	-23	23	2705	115	-23	23	2705	115	-23	23	2705	115	-23	23	2705
116	-23	23	2728	116	-23	23	2728	116	-23	23	2728	116	-23	23	2728	116	-23	23	2728	116	-23	23	2728
117	-24	24	2752	117	-24	24	2752	117	-24	24	2752	117	-24	24	2752	117	-24	24	2752	117	-24	24	2752
118	-23	23	2775	118	-23	23	2775	118	-23	23	2775	118	-23	23	2775	118	-23	23	2775	118	-23	23	2775
119	-17	17	2792	119	-17	17	2792	119	-17	17	2792	119	-17	17	2792	119	-17	17	2792	119	-17	17	2792
120	-19	19	2811	120	-19	19	2811	120	-19	19	2811	120	-19	19	2811	120	-19	19	2811	120	-19	19	2811
121	-19	19	2830	121	-19	19	2830	121	-19	19	2830	121	-19	19	2830	121	-19	19	2830	121	-19	19	2830
122	-27	27	2857	122	-27	27	2857	122	-27	27	2857	122	-27	27	2857	122	-27	27	2857	122	-27	27	2857
123	-32	32	2889	123	-32	32	2889	123	-32	32	2889	123	-32	32	2889	123	-32	32	2889	123	-32	32	2889
124	-19	19	2908	124	-19	19	2908	124	-19	19	2908	124	-19	19	2908	124	-19	19	2908	124	-19	19	2908
125	-59	59	2967	125	-59	59	2967	125	-59	59	2967	125	-59	59	2967	125	-59	59	2967	125	-59	59	2967
126	-86	86	3053	126	-86	86	3053	126	-86	86	3053	126	-86	86	3053	126	-86	86	3053	126	-86	86	3053
127	-163	163	3216	127	-163	163	3216	127	-163	163	3216	127	-163	163	3216	127	-163	163	3216	127	-163	163	3216
128	-64	64	3280	128	-64	64	3280	128	-64	64	3280	128	-64	64	3280	128	-64	64	3280	128	-64	64	3280
129	-41	41	3321	129	-41	41	3321	129	-41	41	3321	129	-41	41	3321	129	-41	41	3321	129	-41	41	3321
130	-52	52	3373	130	-52	52	3373	130	-52	52	3373	130	-52	52	3373	130	-52	52	3373	130	-52	52	3373
131	-53	53	3426	131	-53	53	3426	131	-53	53	3426	131	-53	53	3426	131	-53	53	3426	131	-53	53	3426
132	-42	42	3468	132	-42	42	3468	132	-42	42	3468	132	-42	42	3468	132	-42	42	3468	132	-42	42	3468
133	-39	39	3507	133	-39	39	3507	133	-39	39	3507	133	-39	39	3507	133	-39	39	3507	133	-39	39	3507
134	-37	37	3544	134	-37	37	3544	134	-37	37	3544	134	-37	37	3544	134	-37	37	3544	134	-37	37	3544
135	-27	27	3571	135	-27	27	3571	135	-27	27	3571	135	-27	27	3571	135	-27	27	3571	135	-27	27	3571
136	-34	34	3605	136	-34	34	3605	136	-34	34	3605	136	-34	34	3605	136	-34	34	3605	136	-34	34	3605
137	-51	51	3656	137	-51	51	3656	137	-51	51	3656	137	-51	51	3656	137	-51	51	3656	137	-51	51	3656
138	-21	21	3677	138	-21	21	3677	138	-21	21	3677	138	-21	21	3677	138	-21	21	3677	138	-21	21	3677
139	-17	17	3694	139	-17	17	3694	139	-17	17	3694	139	-17	17	3694	139	-17	17	3694	139	-17	17	3694
140	-22	22	3716	140	-22	22	3716	140	-22	22	3716	140	-22	22	3716	140	-22	22	3716	140	-22	22	3716
141	-19	19	3735	141	-19	19	3735	141	-19	19	3735	141	-19	19	3735	141	-19	19	3735	141	-19	19	3735
142	-20	20	3755	142	-20	20	3755	142	-20	20	3755	142	-20	20	3755	142	-20	20	3755	142	-20	20	3755
143	-20	20	3775	143	-20	20	3775	143	-20	20	3775	143	-20	20	3775	143	-20	20	3775	143	-20	20	3775
144	-21	21	3796	144	-21	21	3796	144	-21	21	3796	144	-21	21	3796	144	-21	21	3796	144	-21	21	3796
145	-22	22	3818	145	-22	22	3818	145	-22	22	3818	145	-22	22	3818	145	-22	22	3818	145	-22	22	3818
