Episode	Accumulated Reward	Length	Steps
265	-138.0	138	40921
266	-133.0	133	41054
267	-136.0	136	41190
268	-113.0	113	41303
269	-138.0	138	41441
270	-143.0	143	41584
271	-118.0	118	41702
272	-138.0	138	41840
273	-136.0	136	41976
274	-122.0	122	42098
275	-118.0	118	42216
276	-110.0	110	42326
277	-109.0	109	42435
278	-135.0	135	42570
279	-137.0	137	42707
280	-133.0	133	42840
281	-157.0	157	42997
282	-105.0	105	43102
283	-100.0	100	43202
284	-108.0	108	43310
285	-106.0	106	43416
286	-111.0	111	43527
287	-119.0	119	43646
288	-181.0	181	43827
289	-140.0	140	43967
290	-136.0	136	44103
291	-132.0	132	44235
292	-134.0	134	44369
293	-109.0	109	44478
294	-131.0	131	44609
295	-139.0	139	44748
296	-135.0	135	44883
297	-140.0	140	45023
298	-148.0	148	45171
299	-136.0	136	45307
