Episode	Accumulated Reward	Length	Steps
0	-11	13	13
1	-18	20	33
2	-44	46	79
3	-2	4	83
4	-30	32	115
5	-3	5	120
6	-2	4	124
7	-2	4	128
8	-2	4	132
9	-3	5	137
10	-2	4	141
11	-2	4	145
12	-2	4	149
13	-2	4	153
14	-2	4	157
15	-2	4	161
16	-2	4	165
17	-2	4	169
18	-2	4	173
19	-2	4	177
20	-2	4	181
21	-2	4	185
22	-2	4	189
23	-2	4	193
24	-2	4	197
25	-2	4	201
26	-2	4	205
27	-2	4	209
28	-2	4	213
29	-2	4	217
30	-2	4	221
31	-2	4	225
32	-2	4	229
33	-2	4	233
34	-2	4	237
35	-2	4	241
36	-2	4	245
37	-2	4	249
38	-2	4	253
39	-2	4	257
40	-2	4	261
41	-2	4	265
42	-2	4	269
43	-2	4	273
44	-2	4	277
45	-2	4	281
46	-2	4	285
47	-2	4	289
48	-2	4	293
49	-2	4	297
50	-2	4	301
51	-2	4	305
52	-2	4	309
53	-2	4	313
54	-2	4	317
55	-2	4	321
56	-2	4	325
57	-2	4	329
58	-2	4	333
59	-2	4	337
60	-2	4	341
61	-2	4	345
62	-2	4	349
63	-4	6	355
64	-2	4	359
65	-2	4	363
66	-2	4	367
67	-2	4	371
68	-43	45	416
69	-2	4	420
70	-2	4	424
71	-2	4	428
72	-2	4	432
73	-2	4	436
74	-2	4	440
75	-2	4	444
76	-2	4	448
77	-2	4	452
78	-2	4	456
79	-2	4	460
80	-2	4	464
81	-2	4	468
82	-7	9	477
83	-2	4	481
84	-2	4	485
85	-2	4	489
86	-2	4	493
87	-2	4	497
88	-2	4	501
89	-2	4	505
90	-2	4	509
91	-2	4	513
92	-2	4	517
93	-2	4	521
94	-2	4	525
95	-2	4	529
96	-2	4	533
97	-2	4	537
98	-2	4	541
99	-2	4	545
100	-2	4	549
101	-2	4	553
102	-2	4	557
103	-2	4	561
104	-2	4	565
105	-2	4	569
106	-2	4	573
107	-2	4	577
108	-2	4	581
109	-2	4	585
110	-2	4	589
111	-2	4	593
112	-2	4	597
113	-2	4	601
114	-2	4	605
115	-2	4	609
116	-2	4	613
117	-2	4	617
118	-2	4	621
119	-2	4	625
120	-2	4	629
121	-2	4	633
122	-2	4	637
123	-2	4	641
124	-4	6	647
125	-2	4	651
126	-2	4	655
127	-3	5	660
128	-2	4	664
129	-2	4	668
130	-2	4	672
131	-4	6	678
