Episode	Accumulated Reward	Length	Steps
0	-1655	467	467
1	-269	170	637
2	-173	74	711
3	-199	100	811
4	-104	104	915
5	-173	74	989
6	-146	47	1036
7	-90	90	1126
8	-55	55	1181
9	-28	28	1209
10	-317	119	1328
11	-43	43	1371
12	-51	51	1422
13	-50	50	1472
14	-175	76	1548
15	-179	80	1628
16	-154	55	1683
17	-33	33	1716
18	-242	44	1760
19	-53	53	1813
20	-27	27	1840
21	-44	44	1884
22	-36	36	1920
23	-41	41	1961
24	-29	29	1990
25	-28	28	2018
26	-14	14	2032
27	-24	24	2056
28	-42	42	2098
29	-366	69	2167
30	-127	28	2195
31	-22	22	2217
32	-17	17	2234
33	-33	33	2267
34	-17	17	2284
35	-20	20	2304
36	-30	30	2334
37	-35	35	2369
38	-23	23	2392
39	-18	18	2410
40	-139	40	2450
41	-133	34	2484
42	-14	14	2498
43	-23	23	2521
44	-124	25	2546
45	-20	20	2566
46	-13	13	2579
47	-29	29	2608
48	-224	26	2634
49	-13	13	2647
50	-15	15	2662
51	-19	19	2681
52	-13	13	2694
53	-119	20	2714
54	-18	18	2732
55	-13	13	2745
56	-127	28	2773
57	-13	13	2786
58	-13	13	2799
59	-13	13	2812
60	-18	18	2830
61	-13	13	2843
62	-122	23	2866
63	-13	13	2879
64	-15	15	2894
65	-13	13	2907
66	-119	20	2927
67	-18	18	2945
68	-15	15	2960
69	-19	19	2979
70	-331	34	3013
71	-17	17	3030
72	-17	17	3047
73	-13	13	3060
74	-15	15	3075
75	-15	15	3090
76	-17	17	3107
77	-13	13	3120
78	-17	17	3137
79	-18	18	3155
80	-131	32	3187
81	-13	13	3200
82	-332	35	3235
83	-116	17	3252
84	-13	13	3265
85	-13	13	3278
86	-116	17	3295
87	-15	15	3310
88	-15	15	3325
89	-13	13	3338
90	-17	17	3355
91	-120	21	3376
92	-125	26	3402
93	-13	13	3415
94	-548	53	3468
95	-13	13	3481
96	-13	13	3494
97	-13	13	3507
98	-15	15	3522
99	-15	15	3537
100	-15	15	3552
101	-15	15	3567
102	-13	13	3580
103	-223	25	3605
104	-13	13	3618
105	-13	13	3631
106	-13	13	3644
107	-13	13	3657
108	-15	15	3672
109	-13	13	3685
110	-223	25	3710
111	-222	24	3734
112	-122	23	3757
113	-17	17	3774
114	-120	21	3795
115	-15	15	3810
116	-15	15	3825
117	-118	19	3844
118	-18	18	3862
119	-221	23	3885
120	-15	15	3900
121	-223	25	3925
122	-17	17	3942
123	-16	16	3958
124	-13	13	3971
125	-13	13	3984
126	-237	39	4023
127	-125	26	4049
128	-120	21	4070
129	-126	27	4097
130	-15	15	4112
131	-22	22	4134
132	-15	15	4149
133	-13	13	4162
134	-13	13	4175
135	-13	13	4188
136	-13	13	4201
137	-13	13	4214
138	-113	14	4228
139	-13	13	4241
140	-13	13	4254
141	-13	13	4267
142	-225	27	4294
143	-13	13	4307
144	-115	16	4323
145	-13	13	4336
146	-15	15	4351
147	-127	28	4379
148	-13	13	4392
149	-15	15	4407
150	-13	13	4420
151	-13	13	4433
152	-13	13	4446
153	-17	17	4463
154	-121	22	4485
155	-15	15	4500
156	-336	39	4539
157	-13	13	4552
158	-15	15	4567
159	-115	16	4583
160	-17	17	4600
161	-23	23	4623
162	-13	13	4636
163	-15	15	4651
164	-117	18	4669
165	-17	17	4686
166	-221	23	4709
167	-122	23	4732
168	-15	15	4747
169	-115	16	4763
170	-13	13	4776
171	-123	24	4800
172	-13	13	4813
173	-13	13	4826
174	-13	13	4839
175	-15	15	4854
176	-15	15	4869
177	-15	15	4884
178	-14	14	4898
179	-13	13	4911
180	-118	19	4930
181	-13	13	4943
182	-221	23	4966
183	-121	22	4988
184	-13	13	5001
185	-14	14	5015
186	-21	21	5036
187	-113	14	5050
188	-15	15	5065
189	-14	14	5079
190	-17	17	5096
191	-15	15	5111
192	-15	15	5126
193	-15	15	5141
194	-15	15	5156
195	-13	13	5169
196	-13	13	5182
197	-124	25	5207
198	-115	16	5223
199	-13	13	5236
