Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
164	-125	26	2732	164	-125	26	2732
165	-15	15	2747	165	-15	15	2747
166	-15	15	2762	166	-15	15	2762
167	-13	13	2775	167	-13	13	2775
168	-13	13	2788	168	-13	13	2788
169	-119	20	2808	169	-119	20	2808
170	-120	21	2829	170	-120	21	2829
171	-13	13	2842	171	-13	13	2842
172	-124	25	2867	172	-124	25	2867
173	-13	13	2880	173	-13	13	2880
174	-13	13	2893	174	-13	13	2893
175	-13	13	2906	175	-13	13	2906
176	-13	13	2919	176	-13	13	2919
177	-15	15	2934	177	-15	15	2934
178	-13	13	2947	178	-13	13	2947
179	-17	17	2964	179	-17	17	2964
180	-17	17	2981	180	-17	17	2981
181	-15	15	2996	181	-15	15	2996
182	-13	13	3009	182	-13	13	3009
183	-13	13	3022	183	-13	13	3022
184	-13	13	3035	184	-13	13	3035
185	-15	15	3050	185	-15	15	3050
186	-15	15	3065	186	-15	15	3065
187	-13	13	3078	187	-13	13	3078
188	-13	13	3091	188	-13	13	3091
189	-13	13	3104	189	-13	13	3104
190	-116	17	3121	190	-116	17	3121
191	-122	23	3144	191	-122	23	3144
192	-13	13	3157	192	-13	13	3157
193	-225	27	3184	193	-225	27	3184
194	-221	23	3207	194	-221	23	3207
195	-13	13	3220	195	-13	13	3220
196	-13	13	3233	196	-13	13	3233
197	-128	29	3262	197	-128	29	3262
198	-13	13	3275	198	-13	13	3275
199	-17	17	3292	199	-17	17	3292
