Episode	Accumulated Reward	Length	Steps
0	-15	17	17
1	-6	8	25
2	-2	4	29
3	-16	18	47
4	-134	136	183
5	-4	6	189
6	-2	4	193
7	-3	5	198
8	-2	4	202
9	-14	16	218
10	-2	4	222
11	-28	30	252
12	-9	11	263
13	-2	4	267
14	-2	4	271
15	-2	4	275
16	-2	4	279
17	-4	6	285
18	-2	4	289
19	-2	4	293
20	-2	4	297
21	-3	5	302
22	-2	4	306
23	-4	6	312
24	-2	4	316
25	-2	4	320
26	-2	4	324
27	-2	4	328
28	-2	4	332
29	-2	4	336
30	-2	4	340
31	-2	4	344
32	-2	4	348
33	-2	4	352
34	-2	4	356
35	-2	4	360
36	-2	4	364
37	-2	4	368
38	-2	4	372
39	-2	4	376
40	-2	4	380
41	-2	4	384
42	-2	4	388
43	-2	4	392
44	-2	4	396
45	-2	4	400
46	-2	4	404
47	-2	4	408
48	-2	4	412
49	-2	4	416
50	-2	4	420
51	-2	4	424
52	-2	4	428
53	-2	4	432
54	-2	4	436
55	-2	4	440
56	-2	4	444
57	-2	4	448
58	-2	4	452
59	-2	4	456
60	-2	4	460
61	-2	4	464
62	-8	10	474
63	-2	4	478
64	-2	4	482
65	-2	4	486
66	-2	4	490
67	-2	4	494
68	-2	4	498
69	-3	5	503
70	-2	4	507
71	-2	4	511
72	-2	4	515
73	-2	4	519
74	-2	4	523
75	-2	4	527
76	-2	4	531
77	-2	4	535
78	-2	4	539
79	-2	4	543
80	-2	4	547
81	-2	4	551
82	-2	4	555
83	-2	4	559
84	-2	4	563
85	-2	4	567
86	-2	4	571
87	-2	4	575
88	-2	4	579
89	-2	4	583
90	-2	4	587
91	-2	4	591
92	-2	4	595
93	-2	4	599
94	-2	4	603
95	-2	4	607
96	-4	6	613
97	-2	4	617
98	-2	4	621
99	-2	4	625
100	-2	4	629
101	-2	4	633
102	-2	4	637
103	-2	4	641
104	-2	4	645
105	-2	4	649
106	-2	4	653
107	-2	4	657
108	-2	4	661
109	-2	4	665
110	-2	4	669
111	-2	4	673
112	-2	4	677
113	-2	4	681
114	-2	4	685
115	-2	4	689
116	-2	4	693
117	-2	4	697
118	-2	4	701
119	-2	4	705
120	-2	4	709
121	-2	4	713
122	-2	4	717
123	-4	6	723
124	-2	4	727
125	-2	4	731
126	-2	4	735
127	-2	4	739
128	-5	7	746
129	-2	4	750
130	-2	4	754
131	-2	4	758
132	-2	4	762
133	-2	4	766
134	-2	4	770
135	-2	4	774
136	-2	4	778
137	-2	4	782
138	-2	4	786
139	-2	4	790
140	-2	4	794
141	-2	4	798
142	-2	4	802
143	-2	4	806
144	-2	4	810
145	-2	4	814
146	-2	4	818
147	-2	4	822
148	-2	4	826
149	-2	4	830
150	-2	4	834
151	-2	4	838
152	-2	4	842
153	-2	4	846
154	-2	4	850
155	-2	4	854
156	-2	4	858
157	-2	4	862
158	-2	4	866
159	-2	4	870
160	-16	18	888
161	-2	4	892
162	-2	4	896
163	-2	4	900
164	-2	4	904
165	-2	4	908
166	-2	4	912
167	-2	4	916
168	-2	4	920
169	-2	4	924
170	-2	4	928
171	-2	4	932
172	-2	4	936
