Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817	136	-35	35	2817
137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835	137	-18	18	2835
138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852	138	-17	17	2852
139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872	139	-20	20	2872
140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889	140	-17	17	2889
141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908	141	-19	19	2908
142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929	142	-21	21	2929
143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948	143	-19	19	2948
144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968	144	-20	20	2968
145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987	145	-19	19	2987
146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005	146	-18	18	3005
147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029	147	-24	24	3029
148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049	148	-20	20	3049
149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069	149	-20	20	3069
150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089	150	-20	20	3089
151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109	151	-20	20	3109
152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127	152	-18	18	3127
153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147	153	-119	20	3147
154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166	154	-19	19	3166
155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185	155	-19	19	3185
156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227	156	-141	42	3227
157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253	157	-26	26	3253
158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270	158	-17	17	3270
159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299	159	-29	29	3299
160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319	160	-20	20	3319
161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340	161	-21	21	3340
162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363	162	-23	23	3363
163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384	163	-21	21	3384
164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410	164	-26	26	3410
165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427	165	-17	17	3427
166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448	166	-21	21	3448
167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468	167	-20	20	3468
168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488	168	-20	20	3488
169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505	169	-17	17	3505
170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529	170	-24	24	3529
171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546	171	-17	17	3546
172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565	172	-19	19	3565
173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585	173	-20	20	3585
174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603	174	-18	18	3603
175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635	175	-32	32	3635
176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654	176	-19	19	3654
177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673	177	-19	19	3673
178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696	178	-122	23	3696
179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714	179	-18	18	3714
180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735	180	-21	21	3735
181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759	181	-24	24	3759
182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777	182	-18	18	3777
183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795	183	-18	18	3795
184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815	184	-20	20	3815
185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837	185	-22	22	3837
186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854	186	-17	17	3854
187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871	187	-17	17	3871
188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891	188	-20	20	3891
189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916	189	-25	25	3916
190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936	190	-20	20	3936
191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957	191	-21	21	3957
192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976	192	-19	19	3976
193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995	193	-19	19	3995
194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012	194	-17	17	4012
195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030	195	-18	18	4030
196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049	196	-19	19	4049
197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073	197	-24	24	4073
198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091	198	-18	18	4091
199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108	199	-17	17	4108
