Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
162	-21	21	3872	162	-21	21	3872
163	-23	23	3895	163	-23	23	3895
164	-23	23	3918	164	-23	23	3918
165	-21	21	3939	165	-21	21	3939
166	-20	20	3959	166	-20	20	3959
167	-19	19	3978	167	-19	19	3978
168	-19	19	3997	168	-19	19	3997
169	-21	21	4018	169	-21	21	4018
170	-25	25	4043	170	-25	25	4043
171	-18	18	4061	171	-18	18	4061
172	-26	26	4087	172	-26	26	4087
173	-144	45	4132	173	-144	45	4132
174	-18	18	4150	174	-18	18	4150
175	-19	19	4169	175	-19	19	4169
176	-21	21	4190	176	-21	21	4190
177	-24	24	4214	177	-24	24	4214
178	-18	18	4232	178	-18	18	4232
179	-17	17	4249	179	-17	17	4249
180	-17	17	4266	180	-17	17	4266
181	-20	20	4286	181	-20	20	4286
182	-26	26	4312	182	-26	26	4312
183	-19	19	4331	183	-19	19	4331
184	-23	23	4354	184	-23	23	4354
185	-67	67	4421	185	-67	67	4421
186	-26	26	4447	186	-26	26	4447
187	-22	22	4469	187	-22	22	4469
188	-18	18	4487	188	-18	18	4487
189	-17	17	4504	189	-17	17	4504
190	-17	17	4521	190	-17	17	4521
191	-20	20	4541	191	-20	20	4541
192	-17	17	4558	192	-17	17	4558
193	-22	22	4580	193	-22	22	4580
194	-20	20	4600	194	-20	20	4600
195	-22	22	4622	195	-22	22	4622
196	-17	17	4639	196	-17	17	4639
197	-17	17	4656	197	-17	17	4656
198	-21	21	4677	198	-21	21	4677
199	-18	18	4695	199	-18	18	4695
