Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
131	-151.0	151	22664	131	-151.0	151	22664
132	-135.0	135	22799	132	-135.0	135	22799
133	-134.0	134	22933	133	-134.0	134	22933
134	-200.0	200	23133	134	-200.0	200	23133
135	-146.0	146	23279	135	-146.0	146	23279
136	-135.0	135	23414	136	-135.0	135	23414
137	-155.0	155	23569	137	-155.0	155	23569
138	-134.0	134	23703	138	-134.0	134	23703
139	-135.0	135	23838	139	-135.0	135	23838
140	-122.0	122	23960	140	-122.0	122	23960
141	-153.0	153	24113	141	-153.0	153	24113
142	-144.0	144	24257	142	-144.0	144	24257
143	-127.0	127	24384	143	-127.0	127	24384
144	-135.0	135	24519	144	-135.0	135	24519
145	-110.0	110	24629	145	-110.0	110	24629
146	-135.0	135	24764	146	-135.0	135	24764
147	-162.0	162	24926	147	-162.0	162	24926
148	-123.0	123	25049	148	-123.0	123	25049
149	-107.0	107	25156	149	-107.0	107	25156
150	-118.0	118	25274	150	-118.0	118	25274
151	-117.0	117	25391	151	-117.0	117	25391
152	-140.0	140	25531	152	-140.0	140	25531
153	-167.0	167	25698	153	-167.0	167	25698
154	-143.0	143	25841	154	-143.0	143	25841
155	-136.0	136	25977	155	-136.0	136	25977
156	-133.0	133	26110	156	-133.0	133	26110
157	-108.0	108	26218	157	-108.0	108	26218
158	-144.0	144	26362	158	-144.0	144	26362
159	-136.0	136	26498	159	-136.0	136	26498
160	-147.0	147	26645	160	-147.0	147	26645
161	-109.0	109	26754	161	-109.0	109	26754
162	-147.0	147	26901	162	-147.0	147	26901
163	-109.0	109	27010	163	-109.0	109	27010
164	-111.0	111	27121	164	-111.0	111	27121
165	-155.0	155	27276	165	-155.0	155	27276
166	-113.0	113	27389	166	-113.0	113	27389
167	-143.0	143	27532	167	-143.0	143	27532
168	-138.0	138	27670	168	-138.0	138	27670
169	-139.0	139	27809	169	-139.0	139	27809
170	-138.0	138	27947	170	-138.0	138	27947
171	-151.0	151	28098	171	-151.0	151	28098
172	-140.0	140	28238	172	-140.0	140	28238
173	-136.0	136	28374	173	-136.0	136	28374
174	-167.0	167	28541	174	-167.0	167	28541
175	-138.0	138	28679	175	-138.0	138	28679
176	-132.0	132	28811	176	-132.0	132	28811
177	-133.0	133	28944	177	-133.0	133	28944
178	-142.0	142	29086	178	-142.0	142	29086
179	-134.0	134	29220	179	-134.0	134	29220
180	-132.0	132	29352	180	-132.0	132	29352
181	-162.0	162	29514	181	-162.0	162	29514
182	-145.0	145	29659	182	-145.0	145	29659
183	-146.0	146	29805	183	-146.0	146	29805
184	-165.0	165	29970	184	-165.0	165	29970
185	-137.0	137	30107	185	-137.0	137	30107
186	-142.0	142	30249	186	-142.0	142	30249
