Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523	30	-13	13	523
31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537	31	-113	14	537
32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559	32	-121	22	559
33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572	33	-13	13	572
34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585	34	-13	13	585
35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610	35	-124	25	610
36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625	36	-15	15	625
37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638	37	-13	13	638
38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665	38	-126	27	665
39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682	39	-17	17	682
40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697	40	-15	15	697
