Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105	123	-17	17	2105
124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120	124	-15	15	2120
125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135	125	-15	15	2135
126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148	126	-13	13	2148
127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165	127	-17	17	2165
128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180	128	-15	15	2180
129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193	129	-13	13	2193
130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208	130	-15	15	2208
131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221	131	-13	13	2221
132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237	132	-16	16	2237
133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250	133	-13	13	2250
134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266	134	-16	16	2266
135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281	135	-15	15	2281
136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298	136	-17	17	2298
137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311	137	-13	13	2311
138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326	138	-15	15	2326
139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341	139	-15	15	2341
140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364	140	-122	23	2364
141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377	141	-13	13	2377
142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392	142	-15	15	2392
143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405	143	-13	13	2405
144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420	144	-15	15	2420
145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433	145	-13	13	2433
146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450	146	-17	17	2450
147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469	147	-118	19	2469
148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482	148	-13	13	2482
149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497	149	-15	15	2497
150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517	150	-119	20	2517
151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531	151	-14	14	2531
152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547	152	-115	16	2547
153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562	153	-15	15	2562
154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580	154	-18	18	2580
155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598	155	-117	18	2598
156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612	156	-14	14	2612
157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652	157	-337	40	2652
158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669	158	-17	17	2669
159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686	159	-116	17	2686
160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703	160	-17	17	2703
161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718	161	-15	15	2718
162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731	162	-13	13	2731
163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744	163	-13	13	2744
164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757	164	-13	13	2757
165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774	165	-17	17	2774
166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798	166	-123	24	2798
167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826	167	-226	28	2826
168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839	168	-13	13	2839
169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852	169	-13	13	2852
170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865	170	-13	13	2865
171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882	171	-17	17	2882
172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895	172	-13	13	2895
173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911	173	-16	16	2911
174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926	174	-15	15	2926
175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942	175	-115	16	2942
176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966	176	-123	24	2966
177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981	177	-15	15	2981
178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994	178	-13	13	2994
179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013	179	-19	19	3013
180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026	180	-13	13	3026
181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041	181	-15	15	3041
182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056	182	-15	15	3056
183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069	183	-13	13	3069
184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098	184	-128	29	3098
185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111	185	-13	13	3111
186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124	186	-13	13	3124
187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141	187	-116	17	3141
188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154	188	-13	13	3154
189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173	189	-19	19	3173
190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187	190	-113	14	3187
191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202	191	-15	15	3202
192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217	192	-15	15	3217
193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230	193	-13	13	3230
194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247	194	-17	17	3247
195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260	195	-13	13	3260
196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275	196	-15	15	3275
197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291	197	-16	16	3291
198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305	198	-14	14	3305
199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321	199	-16	16	3321
