Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
41	-20	20	1080	41	-20	20	1080	41	-20	20	1080	41	-20	20	1080	41	-20	20	1080	41	-20	20	1080	41	-20	20	1080	41	-20	20	1080
42	-28	28	1108	42	-28	28	1108	42	-28	28	1108	42	-28	28	1108	42	-28	28	1108	42	-28	28	1108	42	-28	28	1108	42	-28	28	1108
43	-36	36	1144	43	-36	36	1144	43	-36	36	1144	43	-36	36	1144	43	-36	36	1144	43	-36	36	1144	43	-36	36	1144	43	-36	36	1144
44	-19	19	1163	44	-19	19	1163	44	-19	19	1163	44	-19	19	1163	44	-19	19	1163	44	-19	19	1163	44	-19	19	1163	44	-19	19	1163
45	-21	21	1184	45	-21	21	1184	45	-21	21	1184	45	-21	21	1184	45	-21	21	1184	45	-21	21	1184	45	-21	21	1184	45	-21	21	1184
46	-17	17	1201	46	-17	17	1201	46	-17	17	1201	46	-17	17	1201	46	-17	17	1201	46	-17	17	1201	46	-17	17	1201	46	-17	17	1201
47	-21	21	1222	47	-21	21	1222	47	-21	21	1222	47	-21	21	1222	47	-21	21	1222	47	-21	21	1222	47	-21	21	1222	47	-21	21	1222
48	-18	18	1240	48	-18	18	1240	48	-18	18	1240	48	-18	18	1240	48	-18	18	1240	48	-18	18	1240	48	-18	18	1240	48	-18	18	1240
49	-19	19	1259	49	-19	19	1259	49	-19	19	1259	49	-19	19	1259	49	-19	19	1259	49	-19	19	1259	49	-19	19	1259	49	-19	19	1259
50	-29	29	1288	50	-29	29	1288	50	-29	29	1288	50	-29	29	1288	50	-29	29	1288	50	-29	29	1288	50	-29	29	1288	50	-29	29	1288
51	-21	21	1309	51	-21	21	1309	51	-21	21	1309	51	-21	21	1309	51	-21	21	1309	51	-21	21	1309	51	-21	21	1309	51	-21	21	1309
52	-20	20	1329	52	-20	20	1329	52	-20	20	1329	52	-20	20	1329	52	-20	20	1329	52	-20	20	1329	52	-20	20	1329	52	-20	20	1329
53	-18	18	1347	53	-18	18	1347	53	-18	18	1347	53	-18	18	1347	53	-18	18	1347	53	-18	18	1347	53	-18	18	1347	53	-18	18	1347
54	-30	30	1377	54	-30	30	1377	54	-30	30	1377	54	-30	30	1377	54	-30	30	1377	54	-30	30	1377	54	-30	30	1377	54	-30	30	1377
55	-17	17	1394	55	-17	17	1394	55	-17	17	1394	55	-17	17	1394	55	-17	17	1394	55	-17	17	1394	55	-17	17	1394	55	-17	17	1394
56	-17	17	1411	56	-17	17	1411	56	-17	17	1411	56	-17	17	1411	56	-17	17	1411	56	-17	17	1411	56	-17	17	1411	56	-17	17	1411
57	-20	20	1431	57	-20	20	1431	57	-20	20	1431	57	-20	20	1431	57	-20	20	1431	57	-20	20	1431	57	-20	20	1431	57	-20	20	1431
