Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
172	-49	49	4186	172	-49	49	4186	172	-49	49	4186	172	-49	49	4186	172	-49	49	4186	172	-49	49	4186	172	-49	49	4186	172	-49	49	4186
173	-22	22	4208	173	-22	22	4208	173	-22	22	4208	173	-22	22	4208	173	-22	22	4208	173	-22	22	4208	173	-22	22	4208	173	-22	22	4208
174	-24	24	4232	174	-24	24	4232	174	-24	24	4232	174	-24	24	4232	174	-24	24	4232	174	-24	24	4232	174	-24	24	4232	174	-24	24	4232
175	-21	21	4253	175	-21	21	4253	175	-21	21	4253	175	-21	21	4253	175	-21	21	4253	175	-21	21	4253	175	-21	21	4253	175	-21	21	4253
176	-19	19	4272	176	-19	19	4272	176	-19	19	4272	176	-19	19	4272	176	-19	19	4272	176	-19	19	4272	176	-19	19	4272	176	-19	19	4272
177	-21	21	4293	177	-21	21	4293	177	-21	21	4293	177	-21	21	4293	177	-21	21	4293	177	-21	21	4293	177	-21	21	4293	177	-21	21	4293
178	-18	18	4311	178	-18	18	4311	178	-18	18	4311	178	-18	18	4311	178	-18	18	4311	178	-18	18	4311	178	-18	18	4311	178	-18	18	4311
179	-22	22	4333	179	-22	22	4333	179	-22	22	4333	179	-22	22	4333	179	-22	22	4333	179	-22	22	4333	179	-22	22	4333	179	-22	22	4333
180	-19	19	4352	180	-19	19	4352	180	-19	19	4352	180	-19	19	4352	180	-19	19	4352	180	-19	19	4352	180	-19	19	4352	180	-19	19	4352
181	-17	17	4369	181	-17	17	4369	181	-17	17	4369	181	-17	17	4369	181	-17	17	4369	181	-17	17	4369	181	-17	17	4369	181	-17	17	4369
182	-19	19	4388	182	-19	19	4388	182	-19	19	4388	182	-19	19	4388	182	-19	19	4388	182	-19	19	4388	182	-19	19	4388	182	-19	19	4388
183	-118	19	4407	183	-118	19	4407	183	-118	19	4407	183	-118	19	4407	183	-118	19	4407	183	-118	19	4407	183	-118	19	4407	183	-118	19	4407
184	-17	17	4424	184	-17	17	4424	184	-17	17	4424	184	-17	17	4424	184	-17	17	4424	184	-17	17	4424	184	-17	17	4424	184	-17	17	4424
185	-117	18	4442	185	-117	18	4442	185	-117	18	4442	185	-117	18	4442	185	-117	18	4442	185	-117	18	4442	185	-117	18	4442	185	-117	18	4442
186	-23	23	4465	186	-23	23	4465	186	-23	23	4465	186	-23	23	4465	186	-23	23	4465	186	-23	23	4465	186	-23	23	4465	186	-23	23	4465
187	-19	19	4484	187	-19	19	4484	187	-19	19	4484	187	-19	19	4484	187	-19	19	4484	187	-19	19	4484	187	-19	19	4484	187	-19	19	4484
188	-17	17	4501	188	-17	17	4501	188	-17	17	4501	188	-17	17	4501	188	-17	17	4501	188	-17	17	4501	188	-17	17	4501	188	-17	17	4501
189	-25	25	4526	189	-25	25	4526	189	-25	25	4526	189	-25	25	4526	189	-25	25	4526	189	-25	25	4526	189	-25	25	4526	189	-25	25	4526
190	-21	21	4547	190	-21	21	4547	190	-21	21	4547	190	-21	21	4547	190	-21	21	4547	190	-21	21	4547	190	-21	21	4547	190	-21	21	4547
191	-29	29	4576	191	-29	29	4576	191	-29	29	4576	191	-29	29	4576	191	-29	29	4576	191	-29	29	4576	191	-29	29	4576	191	-29	29	4576
192	-17	17	4593	192	-17	17	4593	192	-17	17	4593	192	-17	17	4593	192	-17	17	4593	192	-17	17	4593	192	-17	17	4593	192	-17	17	4593
193	-18	18	4611	193	-18	18	4611	193	-18	18	4611	193	-18	18	4611	193	-18	18	4611	193	-18	18	4611	193	-18	18	4611	193	-18	18	4611
194	-17	17	4628	194	-17	17	4628	194	-17	17	4628	194	-17	17	4628	194	-17	17	4628	194	-17	17	4628	194	-17	17	4628	194	-17	17	4628
195	-19	19	4647	195	-19	19	4647	195	-19	19	4647	195	-19	19	4647	195	-19	19	4647	195	-19	19	4647	195	-19	19	4647	195	-19	19	4647
196	-17	17	4664	196	-17	17	4664	196	-17	17	4664	196	-17	17	4664	196	-17	17	4664	196	-17	17	4664	196	-17	17	4664	196	-17	17	4664
197	-19	19	4683	197	-19	19	4683	197	-19	19	4683	197	-19	19	4683	197	-19	19	4683	197	-19	19	4683	197	-19	19	4683	197	-19	19	4683
198	-19	19	4702	198	-19	19	4702	198	-19	19	4702	198	-19	19	4702	198	-19	19	4702	198	-19	19	4702	198	-19	19	4702	198	-19	19	4702
199	-19	19	4721	199	-19	19	4721	199	-19	19	4721	199	-19	19	4721	199	-19	19	4721	199	-19	19	4721	199	-19	19	4721	199	-19	19	4721
